medicine_name,batch_id,batch_name,current_stock,expiry_date,days_until_expiry
Combiflam Plus,Com_1_202409,Batch 2 (exp Jun 2025),271,2025-06-23,0
Combiflam Plus,Com_2_202409,Batch 3 (exp Nov 2024),273,2024-11-25,0
Aspirin Plus,Asp_0_202409,Batch 1 (exp Nov 2024),122,2024-11-10,0
Aspirin Plus,Asp_1_202409,Batch 2 (exp Jun 2025),122,2025-06-23,0
Aspirin Plus,Asp_2_202409,Batch 3 (exp Dec 2024),123,2024-12-25,0
Amoxicillin Plus,Amo_0_202409,Batch 1 (exp Mar 2025),124,2025-03-25,0
Amoxicillin Plus,Amo_1_202409,Batch 2 (exp Sep 2025),124,2025-09-26,0
Amoxicillin Plus,Amo_2_202409,Batch 3 (exp Nov 2024),125,2024-11-25,0
Azithromycin Plus,Azi_0_202409,Batch 1 (exp Dec 2024),102,2024-12-25,0
Azithromycin Plus,Azi_1_202409,Batch 2 (exp Dec 2024),102,2024-12-25,0
Azithromycin Plus,Azi_2_202409,Batch 3 (exp Dec 2024),102,2024-12-25,0
Ciprofloxacin Plus,Cip_0_202409,Batch 1 (exp Oct 2024),48,2024-10-11,0
Ciprofloxacin Plus,Cip_1_202409,Batch 2 (exp Mar 2025),48,2025-03-25,0
Ciprofloxacin Plus,Cip_2_202409,Batch 3 (exp Jun 2025),48,2025-06-23,0
Doxycycline Plus,Dox_0_202409,Batch 1 (exp Nov 2024),84,2024-11-10,0
Doxycycline Plus,Dox_1_202409,Batch 2 (exp Mar 2025),84,2025-03-25,0
Doxycycline Plus,Dox_2_202409,Batch 3 (exp Mar 2025),86,2025-03-25,0
Cetirizine Plus,Cet_0_202409,Batch 1 (exp Nov 2024),286,2024-11-25,0
Cetirizine Plus,Cet_1_202409,Batch 2 (exp Sep 2025),286,2025-09-26,0
Cetirizine Plus,Cet_2_202409,Batch 3 (exp Nov 2024),287,2024-11-25,0
Levocetirizine Plus,Lev_0_202409,Batch 1 (exp Sep 2025),180,2025-09-26,0
Levocetirizine Plus,Lev_1_202409,Batch 2 (exp Nov 2024),180,2024-11-10,0
Levocetirizine Plus,Lev_2_202409,Batch 3 (exp Dec 2024),180,2024-12-25,0
Fexofenadine Plus,Fex_0_202409,Batch 1 (exp Oct 2024),133,2024-10-26,0
Fexofenadine Plus,Fex_1_202409,Batch 2 (exp Oct 2024),133,2024-10-11,0
Fexofenadine Plus,Fex_2_202409,Batch 3 (exp Sep 2025),133,2025-09-26,0
Omeprazole Plus,Ome_0_202409,Batch 1 (exp Nov 2024),246,2024-11-10,0
Omeprazole Plus,Ome_1_202409,Batch 2 (exp Oct 2024),246,2024-10-26,0
Omeprazole Plus,Ome_2_202409,Batch 3 (exp Sep 2025),246,2025-09-26,0
Pantoprazole Plus,Pan_0_202409,Batch 1 (exp Oct 2024),249,2024-10-26,0
Pantoprazole Plus,Pan_1_202409,Batch 2 (exp Nov 2024),249,2024-11-10,0
Pantoprazole Plus,Pan_2_202409,Batch 3 (exp Sep 2025),250,2025-09-26,0
Ranitidine Plus,Ran_0_202409,Batch 1 (exp Nov 2024),75,2024-11-10,0
Ranitidine Plus,Ran_1_202409,Batch 2 (exp Nov 2024),75,2024-11-10,0
Ranitidine Plus,Ran_2_202409,Batch 3 (exp Jun 2025),76,2025-06-23,0
Metformin Plus,Met_0_202409,Batch 1 (exp Dec 2024),392,2024-12-25,0
Metformin Plus,Met_1_202409,Batch 2 (exp Nov 2024),392,2024-11-25,0
Metformin Plus,Met_2_202409,Batch 3 (exp Mar 2025),393,2025-03-25,0
Glimepiride Plus,Gli_0_202409,Batch 1 (exp Jun 2025),173,2025-06-23,0
Glimepiride Plus,Gli_1_202409,Batch 2 (exp Mar 2025),173,2025-03-25,0
Glimepiride Plus,Gli_2_202409,Batch 3 (exp Mar 2025),175,2025-03-25,0
Pioglitazone Plus,Pio_0_202409,Batch 1 (exp Nov 2024),185,2024-11-25,0
Pioglitazone Plus,Pio_1_202409,Batch 2 (exp Oct 2024),185,2024-10-11,0
Pioglitazone Plus,Pio_2_202409,Batch 3 (exp Mar 2025),187,2025-03-25,0
Amlodipine Plus,Aml_0_202409,Batch 1 (exp Nov 2024),202,2024-11-25,0
Amlodipine Plus,Aml_1_202409,Batch 2 (exp Oct 2024),202,2024-10-11,0
Amlodipine Plus,Aml_2_202409,Batch 3 (exp Jun 2025),203,2025-06-23,0
Losartan Plus,Los_0_202409,Batch 1 (exp Jun 2025),280,2025-06-23,0
Losartan Plus,Los_1_202409,Batch 2 (exp Oct 2024),280,2024-10-11,0
Losartan Plus,Los_2_202409,Batch 3 (exp Nov 2024),280,2024-11-25,0
Metoprolol Plus,Met_0_202409,Batch 1 (exp Nov 2024),100,2024-11-25,0
Metoprolol Plus,Met_1_202409,Batch 2 (exp Nov 2024),100,2024-11-25,0
Metoprolol Plus,Met_2_202409,Batch 3 (exp Mar 2025),100,2025-03-25,0
Vitamin D Plus,Vit_0_202409,Batch 1 (exp Nov 2024),453,2024-11-25,0
Vitamin D Plus,Vit_1_202409,Batch 2 (exp Nov 2024),453,2024-11-10,0
Vitamin D Plus,Vit_2_202409,Batch 3 (exp Sep 2025),455,2025-09-26,0
Calcium Plus,Cal_0_202409,Batch 1 (exp Oct 2024),319,2024-10-26,0
Calcium Plus,Cal_1_202409,Batch 2 (exp Nov 2024),319,2024-11-25,0
Calcium Plus,Cal_2_202409,Batch 3 (exp Nov 2024),321,2024-11-10,0
